,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Duygu
0,-57.821537,141.0781,-66.01221,52.94803,-40.608532,35.079723,-24.539423,29.402538,-8.02837,6.0196843,-1.7002256,-10.465845,4.6772346,-14.6190605,8.197179,-16.04462,5.9098177,-11.513485,3.123875,-2.4448626,dogs
0,-380.83145,107.765305,-10.268616,-2.2631881,-32.11849,1.0114229,-2.0440497,-12.72427,-12.803037,-5.5056887,-10.525869,-7.5825667,0.28944832,-8.096622,1.6558826,-1.9527069,-4.0098686,-2.9272678,-2.387175,3.2965515,dogs
0,-400.50836,58.775654,-24.198751,-7.8783484,5.439914,17.439102,7.264466,16.111744,7.6644416,4.8475056,4.982702,7.438345,5.4766307,2.4067562,8.72089,6.588369,7.7282586,3.6730049,6.1072598,2.579009,dogs
0,-292.5078,162.74313,-20.144432,-20.74733,-12.094471,-6.2864246,-14.447638,1.7856843,-21.23782,2.435008,8.509442,0.6670743,-14.052781,1.1604898,24.891756,-18.201937,-8.210495,-9.197739,-17.413347,-6.828357,dogs
0,-324.0004,140.2957,-13.940283,-34.929356,-16.865486,-12.80727,-9.269595,-6.4368944,-13.671028,-5.1537695,6.0457582,1.9274082,-17.844881,-4.4746995,11.420861,-16.483257,-16.312365,-3.1970658,-1.8452587,11.099618,dogs
0,-235.4747,118.11049,-23.547762,28.037186,-29.284672,13.275097,-29.045557,-7.524104,-17.365728,-7.4979215,-7.1178975,-13.778696,4.000265,-4.851609,6.5063105,-5.554106,-1.7460506,-9.802984,0.51904666,-1.5118256,dogs
0,-309.59152,172.06049,-33.71124,-40.82843,-20.901197,-4.4239435,-11.915767,1.9119836,-20.033546,-0.82335633,12.316056,0.23511064,-19.595036,3.7117662,27.1856,-15.759505,-3.5652077,-2.6699245,-18.119312,-3.5187643,dogs
0,-418.39676,51.92086,10.317285,-0.50715744,-10.661802,-19.317352,-18.273922,-11.754914,-2.2673094,-1.2307452,-5.654163,-6.941633,-8.317863,-8.000333,-5.9585915,-5.1442876,-2.2613535,0.7906459,-0.24475767,-1.2926049,dogs
0,-239.13608,97.1943,-82.921036,-4.363031,-29.679459,-13.124249,-47.352203,10.052724,-12.79543,11.619803,1.5670509,-11.854407,-1.2887125,-28.473185,-6.7682567,-8.833333,5.0386214,-10.928092,-5.4215407,-4.8724184,dogs
0,-352.12897,125.20037,-9.7782,-9.370115,-30.02675,-6.15487,-15.990131,-20.872425,-16.549833,-6.9696665,-0.013346919,-4.7092385,0.95710385,1.8401301,-3.6826663,-10.176484,-2.352452,-2.8304486,-3.5239344,-4.8391395,dogs
0,-338.50064,157.65485,-21.346895,-29.477419,-13.643061,-7.372268,-7.607758,-1.3069797,-12.135279,0.19748856,11.175191,2.5655289,-13.20379,-2.0836706,14.02476,-6.9975204,-3.4211836,-5.67674,-15.277022,-8.229498,dogs
0,-280.9104,140.38612,-20.670488,-7.611591,-6.271643,17.366104,-15.724671,-9.260092,-7.6091976,-13.66959,-1.5273831,17.012701,23.940428,17.430788,24.665026,2.1038458,-3.1567838,-0.14443088,6.114777,5.0765014,dogs
